210118 Isis Stick-Me-Up Bdg	go('210118','rs',1)
210124 Dart Br @ Yarrand Br	go('210124','rs',1)
210126 U/S Foy Brook	go('210126','rs',1)
210127 Hunter Rv U/S Glenni	go('210127','rs',1)
210128 Hunter Rv@Mason Dieu	go('210128','rs',1)
210129 Hunter U/S Singleton	go('210129','rs',1)
210130 D/S Bowmans	go('210130','rs',1)
210134 Hunter R@Long Point	go('210134','rs',1)
210135 Wollombi Br D/S Bric	go('210135','rs',1)
210136 Chichester Rv @ Chic	go('210136','rs',1)
210137 Wangat @ Wangat	go('210137','rs',1)
210142 Pages Rv U/S Kewell	go('210142','rs',1)
210143 Allyn @ Flyingfox Ln	go('210143','rs',1)
210144 Williams At Under	go('210144','rs',1)
210146 Halls Ck U/S Giants	go('210146','rs',1)
210147 Wybong@Manobalai	go('210147','rs',1)
210149 Fullerton Cove Buoy	go('210149','rs',1)
210150 Chichester Rv @ Weir	go('210150','rs',1)
210151 Hunter D/S Saddlers	go('210151','rs',1)
210409 Paterson @Dunmore Br	go('210409','rs',1)
210410 Paterson @Hinton Br	go('210410','rs',1)
210432 Green Rocks	go('210432','rs',1)
210448 Hexham Bridge	go('210448','rs',1)
210452 Raymond Terrace	go('210452','rs',1)
210455 Mckimms Corner	go('210455','rs',1)
210903 Williams R @ Dungog	go('210903','rs',1)
D21019001 Hrsts Warkworth	go('D21019001','rs',1)
D21019006 Hrsts Liddell	go('D21019006','rs',1)
D21019009 Hrsts Lemington	go('D21019009','rs',1)
D21019010 Hrsts Bulga 1 Dam	go('D21019010','rs',1)
D21019013 Hrsts Bulga 2 Nth Dm	go('D21019013','rs',1)
D21019081 Hrsts Howick	go('D21019081','rs',1)
D21019111 Hrsts Dartbrook	go('D21019111','rs',1)
D21019990 Hrsts Hvo	go('D21019990','rs',1)
D21019991 Hrsts Wambo	go('D21019991','rs',1)
D21019993 Hrsts Ravensworth	go('D21019993','rs',1)
D21019998 Hrsts Mt Thorley	go('D21019998','rs',1)
D21019999 Hrsts Bengalla	go('D21019999','rs',1)
211008 Jigadee Ck@Avondale	go('211008','rs',1)
211009 Wyong R @ Gracemere	go('211009','rs',1)
211010 Jilliby Ck U/S Wyong	go('211010','rs',1)
211013 Ourimbah Ck U/S Weir	go('211013','rs',1)
211014 Wyong Rv@Yarramalong	go('211014','rs',1)
211015 Ourimbah Ck D/S Bang	go('211015','rs',1)
211017 Wyong@Fishway	go('211017','rs',1)
212008 Coxs @ Bathurst Rd	go('212008','rs',1)
212011 Coxs @ Lithgow	go('212011','rs',1)
212013 Megalong @ Narrow Nk	go('212013','rs',1)
212018 Capertee @ Glen Davi	go('212018','rs',1)
212021 Mcdonald Rv@Howes Va	go('212021','rs',1)
212040 Kialla Ck @ Pomeroy	go('212040','rs',1)
212042 Farmers @ Mt Walker	go('212042','rs',1)
212045 Coxs @ Island Hill	go('212045','rs',1)
212048 South Creek @ G.W.H	go('212048','rs',1)
212049 Ropes Ck @ Debrincat	go('212049','rs',1)
212053 Stonequarry @ Picton	go('212053','rs',1)
212054 Coxs @ Wallerawang	go('212054','rs',1)
212055 Neubecks Ck U/S Wall	go('212055','rs',1)
212058 Coxs U/S Lake Lyall	go('212058','rs',1)
212059 Cattai@Murphy Bridge	go('212059','rs',1)
212060 Tarlo@Willowbank	go('212060','rs',1)
212063 Nerrigoran@Thirlmere	go('212063','rs',1)
212064 Bluegumck@Thirlmere	go('212064','rs',1)
212065 Baraba@Thirlmere	go('212065','rs',1)
212066 Couridjah@Thirlmere	go('212066','rs',1)
212067 Werriberri@Thirlmere	go('212067','rs',1)
212068 Gandangarr@Thirlmere	go('212068','rs',1)
21210100 Leura Meter	go('21210100','rs',1)
21210101 Rydal Reticulation	go('21210101','rs',1)
21210102 Wallerang Meter	go('21210102','rs',1)
21210103 Lithgow Meter	go('21210103','rs',1)
21210104 Portland Meter	go('21210104','rs',1)
21210105 Lisdale Meter	go('21210105','rs',1)
21210106 Cullen Bullen Retic	go('21210106','rs',1)
21210107 Mt Piper Pipeline	go('21210107','rs',1)
21210108 Lidsdale Reservoir	go('21210108','rs',1)
21210109 Wallerwang State 1	go('21210109','rs',1)
21210110 Wallerwang State 2	go('21210110','rs',1)
212320 South Ck @ Mulgoa Rd	go('212320','rs',1)
212406 Sackville	go('212406','rs',1)
212407 Colo Junction	go('212407','rs',1)
212460 Hawkesbury@Wisemans	go('212460','rs',1)
212461 Hawkesbury@Leetsvale	go('212461','rs',1)
567069 Eastern Ck Gwh	go('567069','rs',1)
568295 Lakesland Rainfall	go('568295','rs',1)
568296 Thurns Road Rainfall	go('568296','rs',1)
213005 Toongabbie Briens Rd	go('213005','rs',1)
213006 Fishers Ghs Bradbury	go('213006','rs',1)
213009 Prospect@ Smithfield	go('213009','rs',1)
213011 Cabramatta @ Og Rd	go('213011','rs',1)
213012 Bunbury Curran Ck@Rp	go('213012','rs',1)
213013 Bow Bowing @Redfern	go('213013','rs',1)
213014 Orphan School Ck@Svr	go('213014','rs',1)
213018 Georges@Minto Height	go('213018','rs',1)
214003 Macquarie Rvlet @ Ap	go('214003','rs',1)
214010 Minnamurra @ Browns	go('214010','rs',1)
215002 Shoalhaven @ Warri	go('215002','rs',1)
215004 Corang @ Hockeys	go('215004','rs',1)
215007 Mongarlowe @ Monga	go('215007','rs',1)
215008 Shoalhaven @ Kadoona	go('215008','rs',1)
215014 Bungonia @ Bungonia	go('215014','rs',1)
215016 Bomaderry Ck@Bderry	go('215016','rs',1)
215018 Broughton Ck@Bvale	go('215018','rs',1)
215019 Jaspers@Jaspers	go('215019','rs',1)
215430 Shoalhaven@Gradypk	go('215430','rs',1)
216002 Clyde Rv @ Brooman	go('216002','rs',1)
216004 Currambene@ Falls Ck	go('216004','rs',1)
216009 Buckenbowra No 3	go('216009','rs',1)
217006 Araluen @ Neringla	go('217006','rs',1)
217007 Deua @ Riverview	go('217007','rs',1)
218001 Tuross @ Tuross Vale	go('218001','rs',1)
218005 D/S Wadbilliga Jn	go('218005','rs',1)
218007 Wadbiliga Wadbilliga	go('218007','rs',1)
218008 Tuross @ Eurobodalla	go('218008','rs',1)
219001 Rutherford Brown Mtn	go('219001','rs',1)
219003 Bemboka @ Morans Xin	go('219003','rs',1)
219006 Tantawangalo Mtn	go('219006','rs',1)
219013 Brogo @ North Brogo	go('219013','rs',1)
219016 Narira Rv @ Cobargo	go('219016','rs',1)
219017 Double Ck Near Brogo	go('219017','rs',1)
219018 Murrah Rv @ Quaama	go('219018','rs',1)
219022 Candelo Damsite	go('219022','rs',1)
219025 Brogo Rv @ Angledale	go('219025','rs',1)
219027 Brogo Dam	go('219027','rs',1)
219032 Bega River @ Kanoona	go('219032','rs',1)
219033 Cochrane Dam Storage	go('219033','rs',1)
219034 Candelo @ Greenmount	go('219034','rs',1)
219063 Bega @ Darceys	go('219063','rs',1)
219064 Brogo @ Apps	go('219064','rs',1)
219065 Bega @ Barrage	go('219065','rs',1)
219410 Bega Rv @ Entrance	go('219410','rs',1)
219900 Bega River @ Bega	go('219900','rs',1)
220003 Pambula R @ Lochiel	go('220003','rs',1)
220004 Towamba R @ Towamba	go('220004','rs',1)
221002 Wallagaraugh Pr. Hwy	go('221002','rs',1)
222004 Wellesley (Rowes)	go('222004','rs',1)
222007 Wullwye Ck @ Woolway	go('222007','rs',1)
222008 Delegate R @ Quidong	go('222008','rs',1)
222013 Snowy @ Burnt Hut	go('222013','rs',1)
222016 Pinch R @ Barry Way	go('222016','rs',1)
222017 Maclaughlin @ The Hu	go('222017','rs',1)
222019 Bombala @ Bombala	go('222019','rs',1)
222026 Snowy @ Dalgety Weir	go('222026','rs',1)
222027 Mowamba @ Lynwood	go('222027','rs',1)
401007 Tumbarumba @ Tumba2	go('401007','rs',1)
401008 Mannus @ Tooma	go('401008','rs',1)
401009 Maragle @ Maragle	go('401009','rs',1)
401012 Murray @ Biggara	go('401012','rs',1)
401012B Murray @ Biggara B	go('401012B','rs',1)
401013 Jingellic @ Jingellc	go('401013','rs',1)
401014 Tooma @ Pinegrove	go('401014','rs',1)
401014B Tooma @ Pinegrove B	go('401014B','rs',1)
401015 Bowna @ Yambla	go('401015','rs',1)
401016 Welumba @ The Square	go('401016','rs',1)
401017 Mannus @ Yarramundi	go('401017','rs',1)
401024 Tumbarumba @ Bakers	go('401024','rs',1)
401026 Maragle @ Gloaming	go('401026','rs',1)
401027 Hume Dam Storage	go('401027','rs',1)
401029 Mannus @ Glenroy2	go('401029','rs',1)
401204A Mitta @ Tallandoon	go('401204A','rs',1)
401211A Mitta @ Colemans	go('401211A','rs',1)
401224A Dartmouth Dam	go('401224A','rs',1)
401549 Murray @ Bringenbong	go('401549','rs',1)
409001 Murray @ Albury	go('409001','rs',1)
409002 Murray @ Corowa	go('409002','rs',1)
409003 Edward @ Deniliquin	go('409003','rs',1)
409005 Murray R @ Barham	go('409005','rs',1)
409006 Murray R @ Gulpa	go('409006','rs',1)
409008 Edward R @ Offtake	go('409008','rs',1)
409013 Wakool @ Stoney Xing	go('409013','rs',1)
409014 Edward R @ Moulamein	go('409014','rs',1)
409016 Murray @ Heywoods	go('409016','rs',1)
409017 Murray @ Doctors Pnt	go('409017','rs',1)
409019 Wakool R Offtake Reg	go('409019','rs',1)
409020 Yallakool C @ Offtak	go('409020','rs',1)
409021 Wakool Main Canal Ot	go('409021','rs',1)
409022 Wakool Main Canal Ot	go('409022','rs',1)
409023 Edward R D/S Stevens	go('409023','rs',1)
409024 Colligen C B/L Regul	go('409024','rs',1)
409025 Murray @ Yarrawonga	go('409025','rs',1)
409026 Mulwala Mn Cnl Ot	go('409026','rs',1)
409029 Esc Fr Mulwala Edw R	go('409029','rs',1)
409030 Gulpa Ck @ Offtake	go('409030','rs',1)
409035 Edward R @ Liewah	go('409035','rs',1)
409036 Merran Ck U/S Wak R	go('409036','rs',1)
409037 Murray @ Howlong	go('409037','rs',1)
409044 Lt Merran Frank/  Br	go('409044','rs',1)
409045 Wakool Wakool-Bar Rd	go('409045','rs',1)
409047 Edward R @ Toonalook	go('409047','rs',1)
409048 Niemur R Barh-Mln Rd	go('409048','rs',1)
